category,macro_cat,checkin_count,unique_venues
Korean Restaurant,Food & Drink,708,406
Bike Shop,Shopping,664,171
General College & University,Education,656,123
River,Outdoors & Recreation,621,36
Hardware Store,Shopping,613,67
Sandwich Place,Food & Drink,611,94
Neighborhood,Other,589,56
Gift Shop,Shopping,582,150
Donut Shop,Food & Drink,564,134
Theater,Entertainment,556,108
Automotive Shop,Shopping,556,180
General Travel,Transportation,523,104
Art Museum,Entertainment,520,44
Pizza Place,Food & Drink,515,168
Scenic Lookout,Outdoors & Recreation,509,62
French Restaurant,Food & Drink,493,255
Other Nightlife,Entertainment,480,164
Residential Building (Apartment / Condo),Lodging & Residential,472,62
American Restaurant,Food & Drink,468,156
Thai Restaurant,Food & Drink,467,162
Fried Chicken Joint,Food & Drink,444,148
Garden,Outdoors & Recreation,432,75
Seafood Restaurant,Food & Drink,429,179
Arts & Crafts Store,Shopping,403,116
Student Center,Education,363,25
Candy Store,Food & Drink,358,135
Spiritual Center,Other,347,59
Video Game Store,Shopping,327,36
Racetrack,Entertainment,305,18
Rest Area,Transportation,298,36
Beer Garden,Food & Drink,294,81
Laundry Service,Other,293,84
Music Store,Shopping,291,84
Camera Store,Shopping,289,44
History Museum,Entertainment,275,53
Museum,Entertainment,269,57
Food,Food & Drink,268,147
Military Base,Work,265,38
Gaming Cafe,Entertainment,261,24
Paper / Office Supplies Store,Shopping,258,69
Tea Room,Food & Drink,256,93
Soup Place,Food & Drink,254,40
Shop & Service,Shopping,253,89
Elementary School,Education,246,117
Internet Cafe,Other,242,64
Science Museum,Entertainment,242,24
Ice Cream Shop,Food & Drink,228,107
Ferry,Transportation,226,47
Cosmetics Shop,Shopping,220,95
Church,Other,212,50
Travel & Transport,Transportation,204,27
Casino,Entertainment,202,62
Trade School,Education,196,34
Cemetery,Other,193,47
Spanish Restaurant,Food & Drink,187,105
Pool,Outdoors & Recreation,186,38
Flower Shop,Shopping,176,53
Factory,Work,170,59
Wings Joint,Food & Drink,163,56
Moving Target,Other,160,36
Pet Store,Shopping,157,60
Brewery,Food & Drink,157,33
Snack Place,Food & Drink,156,74
Community College,Education,148,28
Performing Arts Venue,Entertainment,146,35
Embassy / Consulate,Work,127,56
Mexican Restaurant,Food & Drink,127,43
Aquarium,Entertainment,112,6
German Restaurant,Food & Drink,111,42
Car Dealership,Shopping,108,54
Nursery School,Education,107,27
Food Truck,Food & Drink,105,33
Comedy Club,Entertainment,99,22
Zoo,Entertainment,99,25
Gastropub,Food & Drink,98,33
Travel Lounge,Transportation,98,11
Thrift / Vintage Store,Shopping,96,36
Jewelry Store,Shopping,95,53
Recycling Facility,Other,92,16
Pool Hall,Entertainment,92,36
Outdoors & Recreation,Outdoors & Recreation,90,20
Hot Dog Joint,Food & Drink,88,8
Vietnamese Restaurant,Food & Drink,85,39
Fair,Entertainment,78,26
Harbor / Marina,Transportation,76,17
Taxi,Transportation,74,17
Professional & Other Places,Other,69,28
Design Studio,Work,69,38
Vegetarian / Vegan Restaurant,Food & Drink,66,36
Nightlife Spot,Entertainment,64,19
Middle School,Education,63,41
Breakfast Spot,Food & Drink,63,19
Rental Car Location,Transportation,62,34
Medical School,Education,60,17
Public Art,Entertainment,60,11
Dim Sum Restaurant,Food & Drink,58,29
Antique Shop,Shopping,56,20
Brazilian Restaurant,Food & Drink,55,8
Bike Rental / Bike Share,Transportation,53,8
Middle Eastern Restaurant,Food & Drink,49,11
Tapas Restaurant,Food & Drink,49,23
Caribbean Restaurant,Food & Drink,49,6
Funeral Home,Other,46,17
Beach,Outdoors & Recreation,44,11
Cupcake Shop,Food & Drink,43,31
College Stadium,Education,40,13
Nail Salon,Health & Medical,39,17
Mediterranean Restaurant,Food & Drink,38,16
Bagel Shop,Food & Drink,36,26
Winery,Food & Drink,35,27
Sorority House,Education,33,4
Board Shop,Shopping,31,8
College & University,Education,30,9
Planetarium,Entertainment,26,5
Australian Restaurant,Other,26,9
Photography Lab,Other,24,15
Music School,Education,24,7
Eastern European Restaurant,Food & Drink,24,15
Mosque,Other,23,5
Garden Center,Shopping,23,3
Campground,Outdoors & Recreation,23,11
Financial or Legal Service,Work,21,7
Turkish Restaurant,Food & Drink,20,10
Tanning Salon,Health & Medical,20,4
Motorcycle Shop,Shopping,20,8
Salad Place,Food & Drink,19,11
Car Wash,Other,19,10
Law School,Education,17,10
Bridal Shop,Shopping,16,13
Fraternity House,Education,13,3
Arts & Entertainment,Entertainment,13,8
Housing Development,Lodging & Residential,12,3
Scandinavian Restaurant,Food & Drink,12,3
Cajun / Creole Restaurant,Food & Drink,12,6
Castle,Entertainment,11,2
Newsstand,Shopping,11,7
Flea Market,Shopping,10,4
Taco Place,Food & Drink,9,6
Fish & Chips Shop,Food & Drink,9,3
Storage Facility,Other,8,7
Malaysian Restaurant,Food & Drink,8,5
Latin American Restaurant,Food & Drink,8,3
City,Other,7,4
Distillery,Food & Drink,7,6
Portuguese Restaurant,Food & Drink,7,4
Animal Shelter,Other,7,5
Burrito Place,Food & Drink,6,3
College Theater,Entertainment,6,5
South American Restaurant,Food & Drink,6,1
African Restaurant,Food & Drink,6,5
Peruvian Restaurant,Food & Drink,5,4
Cuban Restaurant,Food & Drink,5,1
Synagogue,Other,5,2
Ethiopian Restaurant,Food & Drink,4,2
Market,Shopping,4,3
Moroccan Restaurant,Food & Drink,3,3
Swiss Restaurant,Food & Drink,2,2
Mac & Cheese Joint,Food & Drink,2,1
Argentinian Restaurant,Food & Drink,2,1
Pet Service,Other,2,2
Southern / Soul Food Restaurant,Food & Drink,1,1
Ski Area,Outdoors & Recreation,1,1
Gluten-free Restaurant,Food & Drink,1,1
Arepa Restaurant,Food & Drink,1,1
Afghan Restaurant,Food & Drink,1,1
Falafel Restaurant,Food & Drink,1,1
Filipino Restaurant,Food & Drink,0,0
Greek Restaurant,Food & Drink,0,0
Molecular Gastronomy Restaurant,Food & Drink,0,0
Tattoo Parlor,Other,0,0
